epoch,phase,lr,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,seconds
1,warmup,1.000000e-03,1.801999,0.330904,1.566068,0.461276,0.316195,0.303766,35.2
2,warmup,1.000000e-03,1.711729,0.391793,1.525424,0.493394,0.339688,0.324597,7.8
3,warmup,1.000000e-03,1.698043,0.402183,1.537398,0.485421,0.343174,0.316782,8.1
4,main,3.000000e-04,1.335884,0.623591,0.999818,0.769476,0.710808,0.657640,9.9
5,main,2.997730e-04,1.165275,0.718589,0.943822,0.808200,0.744584,0.707585,8.4
6,main,2.990926e-04,1.118855,0.746537,0.946706,0.806606,0.788476,0.706648,8.5
7,main,2.979610e-04,1.083131,0.774203,0.895733,0.840091,0.760158,0.746668,8.6
8,main,2.963816e-04,1.066812,0.784069,0.892926,0.823690,0.752817,0.740496,8.5
9,main,2.943591e-04,1.040659,0.800983,0.877157,0.842825,0.772492,0.752522,8.5
10,main,2.918997e-04,1.033743,0.809319,0.862848,0.850797,0.757569,0.750941,8.6
11,main,2.890109e-04,1.020770,0.812379,0.865420,0.845330,0.758291,0.737909,8.8
12,main,2.857014e-04,1.010191,0.820151,0.879508,0.827563,0.767185,0.753574,8.8
13,main,2.819813e-04,1.004940,0.825749,0.862389,0.853075,0.782975,0.763851,9.0
14,main,2.778620e-04,0.993972,0.832031,0.859070,0.855353,0.791929,0.774429,9.1
15,main,2.733558e-04,0.979564,0.837911,0.869825,0.850797,0.745343,0.769272,9.7
16,main,2.684765e-04,0.981359,0.847213,0.859837,0.853986,0.802939,0.771309,12.3
17,main,2.632389e-04,0.973818,0.848180,0.851624,0.859909,0.774609,0.769298,11.9
18,main,2.576590e-04,0.967635,0.851361,0.857610,0.860820,0.794102,0.788575,11.7
19,main,2.517536e-04,0.961760,0.853858,0.850330,0.867426,0.758283,0.779885,11.8
20,main,2.455407e-04,0.953180,0.861751,0.849474,0.858998,0.754792,0.769225,10.2
21,main,2.390392e-04,0.950268,0.864127,0.847149,0.864237,0.771153,0.773350,8.7
22,main,2.322687e-04,0.949818,0.865134,0.843359,0.866287,0.791514,0.787945,9.3
23,main,2.252500e-04,0.940745,0.874517,0.839677,0.873349,0.810348,0.808375,9.1
24,main,2.180042e-04,0.927179,0.877376,0.847648,0.861503,0.756846,0.764326,8.8
25,main,2.105535e-04,0.933915,0.876691,0.848302,0.864920,0.781530,0.789027,8.8
26,main,2.029203e-04,0.924436,0.879269,0.852617,0.855353,0.767761,0.772228,8.8
27,main,1.951280e-04,0.921166,0.881202,0.840513,0.869021,0.789679,0.787076,8.7
28,main,1.872001e-04,0.915662,0.886477,0.849030,0.866059,0.773041,0.784987,8.7
29,main,1.791607e-04,0.916404,0.881041,0.844103,0.865604,0.788835,0.788469,9.1
30,main,1.710344e-04,0.906710,0.893887,0.843484,0.871526,0.787305,0.791348,8.8
31,main,1.628456e-04,0.906575,0.890222,0.842470,0.867198,0.785963,0.784355,11.9
32,main,1.546194e-04,0.899012,0.893565,0.840698,0.870159,0.773659,0.779855,11.5
33,main,1.463806e-04,0.896183,0.899968,0.841470,0.866515,0.780800,0.775938,12.1
34,main,1.381544e-04,0.899410,0.896867,0.845235,0.866059,0.792309,0.786908,11.7
35,main,1.299656e-04,0.890085,0.903230,0.845866,0.861959,0.761461,0.767959,12.1
